date,rd,rf,bd,bf,s_red,s_blue
30-01-2024,Vito,Alessandro,Simone,Rainer,8,10
30-01-2024,Rainer,Simone,Alessandro,Vito,10,7
30-01-2024,Rainer,Vito,Simone,Sina,13,11
30-01-2024,Vito,Alessandro,Simone,Rainer,11,9
31-01-2024,Rainer,Simone,Alessandro,Vito,10,8
31-01-2024,Vito,Alessandro,Simone,Rainer,10,7
31-01-2024,Rainer,Simone,Vito,Alessandro,10,6
01-02-2024,Simone,Peter K,Vito,Alessandro,4,10
01-02-2024,Rainer,Vito,Alessandro,Sebastian,10,8
01-02-2024,Sebastian,Alessandro,Vito,Rainer,8,10
02-02-2024,Alessandro,Rainer,Vito,Simone,4,10
02-02-2024,Simone,Vito,Rainer,Alessandro,10,8
02-02-2024,Sebastian,Alessandro,Simone,Joshua,7,10
02-02-2024,Joshua,Simone,Alessandro,Sebastian,10,8
02-02-2024,Joshua,Vito,Alessandro,Simone,0,10
02-02-2024,Simone,Alessandro,Vito,Joshua,6,10
02-02-2024,Vito,Joshua,Alessandro,Simone,7,10
05-02-2024,Vito,Alessandro,Simone,Sebastian,10,0
05-02-2024,Sebastian,Simone,Alessandro,Vito,5,10
07-02-2024,Simone,XiangNan,Jan F,Alessandro,12,10
07-02-2024,Simone,XiangNan,Vito,Alessandro,6,10
07-02-2024,Giulio,Simone,Alessandro,Vito,8,10
07-02-2024,Vito,Alessandro,Simone,Giulio,10,4
08-02-2024,Alessandro,Sebastian,Vito,Simone,5,10
08-02-2024,Joshua,Sebastian,Giulio,Alessandro,4,10
08-02-2024,Vito,Simone,Giulio,Alessandro,10,1
08-02-2024,Vito,Sebastian,Simone,Joshua,10,4
08-02-2024,Alessandro,Giulio,Joshua,Simone,6,10
09-02-2024,Vito,Alessandro,Giulio,Simone,7,10
09-02-2024,Alessandro,Joshua,Giulio,Simone,12,10
12-02-2024,Alessandro,Vito,Giulio,Simone,10,5
12-02-2024,Simone,Giulio,Vito,Alessandro,4,10
12-02-2024,Alessandro,Vito,Simone,Sebastian,10,6
12-02-2024,Sebastian,Simone,Vito,Alessandro,4,10
12-02-2024,Vito,Sebastian,Giulio,Alessandro,10,3
13-02-2024,Alessandro,Joshua,Giulio,Simone,4,10
13-02-2024,Simone,Giulio,Joshua,Alessandro,11,9
13-02-2024,Vito,Alessandro,Joshua,Simone,10,3
13-02-2024,Simone,Joshua,Alessandro,Vito,10,5
13-02-2024,Vito,Alessandro,Simone,Joshua,10,4
13-02-2024,Rainer,Sebastian,Giulio,Simone,6,10
13-02-2024,Vito,Alessandro,Joshua,Mauritz,10,1
13-02-2024,Mauritz,Joshua,Rainer,Sebastian,8,10
13-02-2024,Vito,Alessandro,Giulio,Simone,10,6
13-02-2024,Joshua,Mauritz,Rainer,Sebastian,10,5
14-02-2024,Vito,Simone,Alessandro,Mauritz,10,4
14-02-2024,Mauritz,Alessandro,Simone,Vito,6,10
14-02-2024,Mauritz,Simone,Vito,Alessandro,2,10
15-02-2024,Simone,Niraj,Vito,Alessandro,3,10
15-02-2024,Simone,Sebastian,Vito,Alessandro,8,10
15-02-2024,Alessandro,Vito,Sebastian,Simone,10,5
15-02-2024,Sebastian,Miroslav,Joshua,Vito,2,10
15-02-2024,Simone,Mauritz,Rainer,Alessandro,10,2
15-02-2024,Simone,Mauritz,Vito,Joshua,10,5
15-02-2024,Rainer,Alessandro,Mauritz,Simone,6,10
16-02-2024,Simone,Joshua,Giulio,Mauritz,10,4
16-02-2024,Giulio,Simone,Alessandro,Joshua,10,3
16-02-2024,Joshua,Alessandro,Simone,Giulio,8,10
16-02-2024,Rainer,Sebastian,Giulio,Simone,7,10
16-02-2024,Giulio,Mauritz,Rainer,Sebastian,10,8
19-02-2024,Giulio,Vito,Simone,Joshua,4,10
19-02-2024,Joshua,Simone,Vito,Giulio,10,5
19-02-2024,Rainer,Sebastian,Simone,Joshua,7,10
19-02-2024,Vito,Sebastian,Rainer,Joshua,10,4
19-02-2024,Joshua,Rainer,Sebastian,Vito,2,10
20-02-2024,Joshua,Simone,Alessandro,Jan F,10,7
20-02-2024,Joshua,Simone,Alessandro,Vito,6,10
20-02-2024,Vito,Alessandro,Simone,Joshua,11,9
20-02-2024,Vito,Joshua,Giulio,Simone,10,8
20-02-2024,Joshua,Alessandro,Mauritz,Sebastian,7,10
21-02-2024,Joshua,Simone,DiBona,Alessandro,6,10
21-02-2024,Alessandro,DiBona,Simone,Joshua,10,5
21-02-2024,DiBona,Alessandro,Vito,Simone,10,7
